Area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Democratic People's Republic of Korea,23259942.0,26170107.0,26381073.0,27012996.0,27363448.0,27807840.0,27549321.0,25438793.0,26529761.0,26443471.0,26404194.0,26574700.0,27251217.0,27963057.0,27471243.0,26332474.0,25536862.0,24345144.0,23596522.0,26917140.0,24694968.0,24793000.0,24337865.0,23646897.0
Democratic Republic of the Congo,49904911.0,48573195.0,47598070.0,47771555.0,47946464.0,48109019.0,48258265.0,48885788.0,49432195.0,51275194.0,89503309.0,92816674.0,94706060.0,99204868.0,104009655.0,104501066.0,108132024.0,110352305.0,113237134.0,116219547.0,122997614.0,122811973.0,125441377.0,127694630.0
Denmark,48684914.0,47791358.0,47487469.0,47118842.0,47149687.0,47233206.0,44708000.0,44361048.0,46090320.0,47400661.0,45848699.0,46970720.0,48477918.0,47231772.0,49199323.0,47993944.0,47990587.0,50954894.0,42881696.0,49787169.0,51018765.0,51595726.0,53109922.0,40647272.0
Djibouti,128790.0,131818.0,133854.0,131862.0,126077.0,132213.0,118155.0,135610.0,139982.0,142757.0,144820.0,147936.0,159812.0,154190.0,154002.0,156073.0,154449.0,166352.0,173597.0,181480.0,186390.0,179180.0,174245.0,180421.0
Dominica,282603.0,254774.0,253437.0,234619.0,242255.0,236451.0,248257.0,240906.0,269666.0,292858.0,255256.0,274503.0,281505.0,293157.0,290438.0,292218.0,292143.0,292017.0,293791.0,294872.0,294086.0,294703.0,296577.0,296608.0
Dominican Republic,18434353.0,20183658.0,21060377.0,20943229.0,21256983.0,20628664.0,21561927.0,22027531.0,20836537.0,21891431.0,22584069.0,23927892.0,24720866.0,25532383.0,27209977.0,26522389.0,26280159.0,30046626.0,32567045.0,31580380.0,32115147.0,32992688.0,35910294.0,36360307.0
Eastern Africa,291075597.0,310681317.0,314726170.0,322279864.0,343098236.0,349897847.0,370523357.0,367648331.0,353817703.0,383796646.0,415624788.0,425862178.0,457673784.0,475539355.0,487754880.0,486685271.0,481466847.0,503988513.0,536082063.0,548370697.0,580646595.0,585175591.0,593686549.0,582676003.0
Eastern Asia,2849267182.0,2911674689.0,3036673930.0,3001811667.0,3155156858.0,3237008405.0,3312227043.0,3409232404.0,3595718243.0,3610693634.0,3692644376.0,3839663614.0,3954492858.0,4025653680.0,4072547874.0,4196093248.0,4171203472.0,4221607982.0,4258387510.0,4310954947.0,4348810336.0,4432264728.0,4482215680.0,4432530284.0
Eastern Europe,949289252.0,1059076795.0,1040933836.0,977930572.0,1134974915.0,1084592254.0,1096675857.0,1052438487.0,1216844078.0,1157805979.0,1027798683.0,1286039554.0,1172961053.0,1267404322.0,1347667826.0,1285394825.0,1387075860.0,1435571353.0,1390737430.0,1437624673.0,1368900402.0,1447184737.0,1419481450.0,1364474653.0
Ecuador,37931530.0,41109405.0,38783407.0,41603270.0,43802716.0,44590833.0,45397884.0,49064169.0,52413329.0,53268746.0,55148953.0,53094413.0,51632238.0,49118805.0,55637389.0,61338196.0,54077678.0,55627000.0,50940979.0,55420726.0,57816008.0,60647403.0,52865996.0,49683474.0
